"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"1997","Mike Piazza","Dodgers","152","633","40","104","124","5","10.9 %","12.2 %",".277",".363",".362",".431",".638",".452","183","0.6","66.9","5.5","9.1","893"
"2012","Buster Posey","Giants","148","610","24","78","103","1","11.3 %","15.7 %",".213",".368",".336",".408",".549",".406","164","-5.1","41.5","13.0","7.7","9166"
"2009","Joe Mauer","Twins","138","606","28","94","96","4","12.5 %","10.4 %",".222",".373",".365",".444",".587",".438","170","-1.6","51.3","4.6","7.7","1857"
"1993","Mike Piazza","Dodgers","149","602","35","81","112","3","7.6 %","14.3 %",".243",".322",".318",".370",".561",".401","150","-0.9","36.3","16.5","7.4","893"
"1992","Darren Daulton","Phillies","145","585","27","80","109","11","15.0 %","17.6 %",".254",".288",".270",".385",".524",".399","156","1.3","37.1","11.2","7.2","1003010"
"1993","Chris Hoiles","Orioles","126","503","29","80","82","1","13.7 %","18.7 %",".274",".338",".310",".416",".585",".433","166","-0.1","41.0","12.9","7.0","1005935"
"1999","Ivan Rodriguez","Rangers","144","630","35","116","113","25","3.8 %","10.2 %",".227",".324",".332",".356",".558",".388","125","-0.4","20.9","28.2","6.8","1275"
"1996","Mike Piazza","Dodgers","148","631","36","87","105","0","12.8 %","14.7 %",".227",".352",".336",".422",".563",".416","165","-1.5","50.2","0.6","6.6","893"
"1998","Mike Piazza","- - -","151","626","32","88","111","1","9.3 %","12.8 %",".242",".335",".328",".390",".570",".405","151","0.2","40.8","6.7","6.6","893"
"1998","Ivan Rodriguez","Rangers","145","617","21","88","91","9","5.2 %","14.3 %",".192",".349",".321",".358",".513",".375","119","1.8","17.2","26.6","6.4","1275"
"2006","Joe Mauer","Twins","140","608","13","86","84","8","13.0 %","8.9 %",".159",".364",".347",".429",".507",".396","141","5.0","37.5","6.2","6.2","1857"
"1997","Ivan Rodriguez","Rangers","150","648","20","98","77","7","5.9 %","13.7 %",".171",".339",".313",".360",".484",".365","113","0.2","11.3","28.7","6.2","1275"
"2000","Jorge Posada","Yankees","151","624","28","92","86","2","17.1 %","24.2 %",".240",".355",".287",".417",".527",".405","140","-0.4","33.3","10.1","6.1","841"
"2012","Yadier Molina","Cardinals","138","563","22","65","76","12","8.0 %","9.8 %",".186",".316",".315",".373",".501",".375","139","-5.9","20.0","20.2","6.1","7007"
"2003","Jorge Posada","Yankees","142","588","30","83","101","2","15.8 %","18.7 %",".237",".304",".281",".405",".518",".397","145","-5.7","27.7","12.8","6.0","841"
"1995","Mike Piazza","Dodgers","112","475","32","82","93","1","8.2 %","16.8 %",".260",".365",".346",".400",".606",".427","168","0.1","40.9","4.5","6.0","893"
"2008","Joe Mauer","Twins","146","633","9","98","85","1","13.3 %","7.9 %",".123",".342",".328",".413",".451",".379","133","5.0","30.8","6.9","5.9","1857"
"2000","Mike Piazza","Mets","136","545","38","90","113","4","10.6 %","12.7 %",".290",".313",".324",".398",".614",".423","153","0.0","39.4","5.3","5.8","893"
"1998","Jason Kendall","Pirates","149","627","12","95","75","26","8.1 %","8.1 %",".146",".340",".327",".411",".473",".390","136","3.0","31.5","7.6","5.8","993"
"2007","Jorge Posada","Yankees","144","589","20","91","90","2","12.6 %","16.6 %",".206",".386",".338",".426",".543",".418","157","-6.9","35.0","2.9","5.7","841"
"1996","Ivan Rodriguez","Rangers","153","685","19","116","86","5","5.5 %","8.0 %",".172",".304",".300",".342",".473",".350","99","0.8","-0.4","32.7","5.6","1275"
"1991","Mickey Tettleton","Tigers","154","608","31","85","89","3","16.6 %","21.5 %",".228",".294",".263",".387",".491",".388","140","-0.6","28.3","5.3","5.6","1012939"
"2013","Yadier Molina","Cardinals","136","541","12","68","80","3","5.5 %","10.2 %",".158",".338",".319",".359",".477",".362","133","-2.2","18.1","17.1","5.5","7007"
"2007","Russell Martin","Dodgers","151","620","19","87","87","21","10.8 %","14.4 %",".176",".317",".293",".374",".469",".369","122","0.7","18.3","17.5","5.5","4616"
"2007","Victor Martinez","Indians","147","645","25","78","114","0","9.6 %","11.8 %",".205",".305",".301",".374",".505",".373","129","-3.1","20.2","12.7","5.4","393"
"1993","Darren Daulton","Phillies","147","637","24","90","105","5","18.4 %","17.4 %",".225",".279",".257",".392",".482",".382","132","1.2","26.2","3.8","5.3","1003010"
"2010","Joe Mauer","Twins","137","584","9","88","75","1","11.1 %","9.1 %",".141",".348",".327",".402",".469",".377","136","2.2","26.7","4.3","5.3","1857"
"2008","Brian McCann","Braves","145","573","23","68","87","5","9.9 %","11.2 %",".222",".306",".301",".373",".523",".386","135","-4.0","21.3","12.6","5.2","4810"
"2013","Joe Mauer","Twins","113","508","11","62","47","0","12.0 %","17.5 %",".153",".383",".324",".404",".476",".383","144","-0.5","24.9","6.2","5.2","1857"
"2001","Paul Lo Duca","Dodgers","125","519","25","71","90","2","7.5 %","5.8 %",".224",".295",".320",".374",".543",".387","140","-1.4","25.5","9.8","5.1","662"
"2010","Brian McCann","Braves","143","566","21","63","77","5","13.1 %","17.3 %",".184",".297",".269",".375",".453",".362","123","-4.9","10.8","20.4","5.1","4810"
"1990","Carlton Fisk","White Sox","137","521","18","65","65","7","11.7 %","14.0 %",".166",".307",".285",".378",".451",".371","133","0.4","19.8","11.1","5.0","1004101"
