"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2006","Alfonso Soriano","Nationals","159","728","46","119","95","41","9.2 %","22.0 %",".283",".300",".277",".351",".560",".377","129","-0.1","27.7","-0.5","5.0","847"
"2002","Luis Gonzalez","Diamondbacks","148","633","28","90","103","9","15.3 %","12.0 %",".208",".288",".288",".400",".496",".387","131","1.4","26.3","3.4","5.0","55"
"2009","Nyjer Morgan","- - -","120","533","3","74","39","42","7.5 %","13.9 %",".081",".355",".307",".369",".388",".338","104","3.9","6.8","25.9","5.0","4885"
"1993","Greg Vaughn","Brewers","154","667","30","97","97","10","13.3 %","17.7 %",".214",".287",".267",".369",".482",".370","124","-0.8","19.1","9.6","5.0","1233"
"2003","Garret Anderson","Angels","159","673","29","80","116","6","4.6 %","12.3 %",".226",".325",".315",".345",".541",".372","129","-0.7","23.6","3.6","5.0","2"
"2004","Brad Wilkerson","Expos","160","688","32","112","67","13","15.4 %","22.1 %",".243",".292",".255",".374",".498",".373","121","3.9","22.8","5.0","5.0","804"
"1993","Albert Belle","Indians","159","693","38","93","129","23","11.0 %","13.9 %",".263",".283",".290",".370",".552",".392","140","-0.3","34.1","-6.8","4.9","1000802"
"2000","Shannon Stewart","Blue Jays","136","631","21","107","69","20","5.9 %","12.5 %",".199",".339",".319",".363",".518",".378","119","1.8","18.2","11.0","4.9","1322"
"2011","Brett Gardner","Yankees","159","588","7","87","36","49","10.2 %","15.8 %",".110",".303",".259",".345",".369",".321","97","8.8","6.7","20.9","4.9","9927"
"2004","Carl Crawford","Devil Rays","152","672","11","104","55","59","5.2 %","12.1 %",".155",".322",".296",".331",".450",".335","101","8.7","9.2","18.2","4.9","1201"
"2004","Adam Dunn","Reds","161","681","46","105","102","6","15.9 %","28.6 %",".303",".321",".266",".388",".569",".402","142","0.6","37.2","-10.1","4.9","319"
"2011","Matt Holliday","Cardinals","124","516","22","83","75","2","11.6 %","18.0 %",".229",".330",".296",".388",".525",".395","154","1.2","33.6","-3.9","4.8","1873"
"1993","Rickey Henderson","- - -","134","610","21","114","59","53","19.7 %","10.7 %",".185",".296",".289",".432",".474",".404","151","7.5","46.1","-17.9","4.8","194"
"1992","Bip Roberts","Reds","147","601","4","92","45","44","10.3 %","9.0 %",".109",".351",".323",".393",".432",".373","136","2.5","26.3","-0.8","4.8","1011023"
"2005","Carl Crawford","Devil Rays","156","687","15","101","81","46","3.9 %","12.2 %",".168",".325",".301",".331",".469",".343","112","7.1","16.8","7.2","4.8","1201"
"1996","Rusty Greer","Rangers","139","617","18","96","100","9","10.0 %","13.9 %",".197",".362",".332",".397",".530",".398","128","1.6","25.7","0.8","4.8","1252"
"2000","Luis Gonzalez","Diamondbacks","162","722","31","106","114","2","10.8 %","11.8 %",".233",".313",".311",".392",".544",".397","131","-1.3","28.7","-2.4","4.7","55"
"2008","Carlos Quentin","White Sox","130","569","36","96","100","7","11.6 %","14.1 %",".283",".278",".288",".394",".571",".415","152","0.5","36.8","-9.0","4.7","6274"
"1994","Moises Alou","Expos","107","471","22","81","78","7","8.9 %","13.4 %",".254",".354",".339",".397",".592",".415","150","-1.2","29.1","3.3","4.7","261"
"2006","Carl Crawford","Devil Rays","151","653","18","89","77","58","5.7 %","13.0 %",".177",".331",".305",".348",".482",".355","114","9.9","22.0","3.8","4.7","1201"
"1999","B.J. Surhoff","Orioles","162","727","28","104","107","5","5.9 %","10.7 %",".184",".311",".308",".347",".492",".361","114","0.6","14.3","8.1","4.6","117"
"2009","Ryan Braun","Brewers","158","708","32","113","114","20","8.1 %","17.1 %",".231",".353",".320",".386",".551",".403","149","1.6","44.0","-20.8","4.6","3410"
"2008","Ryan Braun","Brewers","151","663","37","92","106","14","6.3 %","19.5 %",".268",".305",".285",".335",".553",".376","129","4.3","28.2","-3.9","4.6","3410"
"2013","Starling Marte","Pirates","135","566","12","83","35","41","4.4 %","24.4 %",".161",".363",".280",".343",".441",".344","121","7.2","20.8","4.9","4.6","9241"
"1991","Joe Carter","Blue Jays","162","706","33","89","108","20","6.9 %","15.9 %",".230",".281",".273",".330",".503",".361","123","0.4","19.4","1.9","4.6","1002018"
"2012","Matt Holliday","Cardinals","157","688","27","95","102","4","10.9 %","19.2 %",".202",".337",".295",".379",".497",".378","141","-0.6","32.8","-11.0","4.6","1873"
"2001","Gary Sheffield","Dodgers","143","618","36","98","100","10","15.2 %","10.8 %",".272",".297",".311",".417",".583",".418","159","0.2","48.1","-21.4","4.6","114"
"2009","Jason Bay","Red Sox","151","638","36","103","119","13","14.7 %","25.4 %",".269",".315",".267",".384",".537",".395","135","1.0","29.2","-6.0","4.5","1717"
"2000","Johnny Damon","Royals","159","741","16","136","88","46","8.8 %","8.1 %",".168",".335",".327",".382",".495",".377","115","5.2","19.8","1.4","4.5","185"
"2000","Geoff Jenkins","Brewers","135","564","34","100","94","11","5.9 %","23.9 %",".285",".349",".303",".360",".588",".396","132","1.8","26.3","2.2","4.5","690"
"1996","Jeff Conine","Marlins","157","670","26","84","95","1","9.3 %","18.1 %",".191",".326",".293",".360",".484",".366","124","-1.8","19.0","6.4","4.4","131"
"2013","Matt Holliday","Cardinals","141","602","22","103","94","6","11.5 %","14.3 %",".190",".322",".300",".389",".490",".383","148","2.2","34.5","-11.4","4.4","1873"
"1990","Kal Daniels","Dodgers","130","526","27","81","94","4","12.9 %","19.8 %",".236",".329",".296",".389",".531",".408","157","-0.6","34.4","-11.1","4.4","1002973"
"2006","Reed Johnson","Blue Jays","134","517","12","86","49","8","6.4 %","15.7 %",".161",".366",".319",".390",".479",".377","126","0.7","18.1","9.8","4.4","1702"
"1994","Tony Phillips","Tigers","114","538","19","91","61","13","17.7 %","19.5 %",".187",".328",".281",".409",".468",".388","130","0.4","21.6","5.1","4.4","1010300"
"2003","Brian Giles","- - -","134","609","20","93","88","4","17.2 %","9.5 %",".215",".304",".299",".427",".514",".404","146","-0.6","35.6","-11.4","4.3","990"
"2002","Pat Burrell","Phillies","157","684","37","96","116","1","13.0 %","22.4 %",".263",".318",".282",".376",".544",".390","140","-2.1","32.2","-10.8","4.3","949"
"2000","Bobby Higginson","Tigers","154","679","30","104","102","15","10.9 %","14.6 %",".238",".316",".300",".377",".538",".389","131","1.7","30.5","-8.5","4.3","469"
"1999","Johnny Damon","Royals","145","660","14","101","77","36","10.2 %","7.6 %",".170",".315",".307",".379",".477",".372","114","4.5","16.7","4.6","4.3","185"
"2006","David DeJesus","Royals","119","552","8","83","56","6","7.8 %","12.7 %",".151",".329",".295",".364",".446",".351","110","5.7","12.7","12.3","4.2","1825"
"1997","Rusty Greer","Rangers","157","690","26","112","87","9","12.0 %","12.6 %",".210",".341",".321",".405",".531",".407","141","-0.3","35.4","-16.3","4.2","1252"
"1997","David Justice","Indians","139","582","33","84","101","3","13.7 %","13.6 %",".267",".333",".329",".418",".596",".428","158","-1.5","41.7","-18.9","4.2","923"
"2012","Josh Hamilton","Rangers","148","636","43","103","128","7","9.4 %","25.5 %",".292",".320",".285",".354",".577",".387","141","4.0","34.2","-14.9","4.2","1875"
