"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"1991","Cal Ripken","Orioles","162","717","34","99","114","6","7.4 %","6.4 %",".243",".304",".323",".374",".566",".405","154","0.8","46.9","31.8","10.6","1010978"
"2002","Alex Rodriguez","Rangers","162","725","57","125","142","9","12.0 %","16.8 %",".324",".290",".300",".392",".623",".424","158","2.1","53.5","19.6","9.8","1274"
"2000","Alex Rodriguez","Mariners","148","672","41","134","132","15","14.9 %","18.0 %",".291",".333",".316",".420",".606",".431","158","1.3","54.4","22.6","9.5","1274"
"1996","Alex Rodriguez","Mariners","146","677","36","141","123","15","8.7 %","15.4 %",".273",".382",".358",".414",".631",".443","159","1.0","56.0","15.8","9.2","1274"
"2003","Alex Rodriguez","Rangers","161","715","47","124","118","17","12.2 %","17.6 %",".301",".305",".298",".396",".600",".416","151","4.0","50.1","18.2","9.2","1274"
"1995","John Valentin","Red Sox","135","621","27","108","102","20","13.0 %","10.8 %",".235",".296",".298",".399",".533",".405","138","1.6","32.6","30.4","8.2","1375"
"1998","Alex Rodriguez","Mariners","161","748","42","123","124","46","6.0 %","16.2 %",".249",".324",".310",".360",".560",".394","135","3.6","37.8","16.5","7.9","1274"
"2001","Alex Rodriguez","Rangers","162","732","52","133","135","18","10.2 %","17.9 %",".304",".325",".318",".399",".622",".425","159","2.3","56.6","-1.9","7.8","1274"
"2000","Nomar Garciaparra","Red Sox","140","599","21","104","96","5","10.2 %","8.3 %",".227",".378",".372",".434",".599",".432","154","0.2","44.4","15.0","7.6","190"
"1999","Derek Jeter","Yankees","158","739","24","134","102","19","12.3 %","15.7 %",".203",".396",".349",".438",".552",".428","156","0.2","55.9","-2.4","7.4","826"
"1998","Nomar Garciaparra","Red Sox","143","652","35","111","122","12","5.1 %","9.5 %",".262",".311",".323",".362",".584",".402","139","-0.2","32.6","18.7","7.3","190"
"2008","Hanley Ramirez","Marlins","153","693","33","125","67","35","13.3 %","17.6 %",".239",".329",".301",".400",".540",".403","144","2.9","41.5","7.6","7.1","8001"
"2001","Rich Aurilia","Giants","156","689","37","114","97","1","6.8 %","12.0 %",".248",".326",".324",".369",".572",".397","144","-1.1","38.5","11.8","7.1","1106"
"2009","Hanley Ramirez","Marlins","151","652","24","101","106","27","9.4 %","15.5 %",".201",".379",".342",".410",".543",".407","149","4.8","43.7","6.2","7.1","8001"
"1996","Barry Larkin","Reds","152","627","33","117","89","36","15.3 %","8.3 %",".269",".276",".298",".410",".567",".417","157","2.5","47.5","5.7","6.8","335"
"2009","Derek Jeter","Yankees","153","716","18","107","66","30","10.1 %","12.6 %",".131",".368",".334",".406",".465",".385","130","4.3","31.4","12.2","6.8","826"
"1993","Jay Bell","Pirates","154","701","9","102","51","16","11.0 %","17.4 %",".127",".376",".310",".392",".437",".371","125","-0.8","21.3","19.3","6.6","48"
"2007","Jimmy Rollins","Phillies","162","778","30","139","94","41","6.3 %","10.9 %",".235",".300",".296",".344",".531",".371","119","11.2","30.0","10.0","6.4","971"
"2003","Edgar Renteria","Cardinals","157","663","13","96","100","34","9.8 %","8.1 %",".150",".343",".330",".394",".480",".375","128","6.9","31.0","12.3","6.4","1178"
"1997","Nomar Garciaparra","Red Sox","153","734","30","122","98","22","4.8 %","12.5 %",".228",".315",".306",".342",".534",".374","122","0.6","20.9","18.3","6.4","190"
"2004","Miguel Tejada","Orioles","162","725","34","107","150","4","6.6 %","10.1 %",".224",".302",".311",".360",".534",".376","129","0.7","27.8","12.2","6.3","941"
"1999","Nomar Garciaparra","Red Sox","135","595","27","103","104","14","8.6 %","6.6 %",".246",".347",".357",".418",".603",".434","157","1.5","46.5","0.2","6.3","190"
"1990","Cal Ripken","Orioles","161","695","21","78","84","3","11.8 %","9.5 %",".165",".248",".250",".341",".415",".333","109","-0.1","7.4","30.7","6.2","1010978"
"1998","Derek Jeter","Yankees","149","694","19","127","84","30","8.2 %","17.1 %",".157",".375",".324",".384",".481",".379","128","3.4","29.0","10.1","6.2","826"
"1990","Alan Trammell","Tigers","146","637","14","71","89","12","10.7 %","8.6 %",".145",".315",".304",".377",".449",".368","131","-1.8","20.8","18.2","6.2","1013157"
"2006","Derek Jeter","Yankees","154","715","14","118","97","34","9.7 %","14.3 %",".140",".391",".343",".417",".483",".392","138","5.7","40.4","-1.2","6.1","826"
"1991","Barry Larkin","Reds","123","527","20","88","69","24","10.4 %","12.1 %",".205",".314",".302",".378",".506",".393","148","2.4","31.2","9.4","6.0","335"
"2006","Carlos Guillen","Tigers","153","622","19","100","85","20","11.4 %","14.0 %",".199",".351",".320",".400",".519",".391","137","3.3","32.7","8.3","6.0","1079"
"1999","Omar Vizquel","Indians","144","664","5","112","66","42","9.8 %","7.5 %",".103",".354",".333",".397",".436",".372","115","4.3","18.0","21.5","6.0","411"
"2008","Jose Reyes","Mets","159","763","16","113","68","56","8.7 %","10.7 %",".179",".317",".297",".358",".475",".359","118","8.2","25.9","8.9","6.0","1736"
"1998","Barry Larkin","Reds","145","626","17","93","72","26","12.6 %","11.0 %",".195",".327",".309",".397",".504",".391","135","3.9","32.0","8.6","5.9","335"
"2012","Ben Zobrist","Rays","157","668","20","88","74","14","14.5 %","15.4 %",".202",".296",".270",".377",".471",".365","137","-3.2","25.9","8.3","5.9","7435"
"2010","Troy Tulowitzki","Rockies","122","529","27","89","95","11","9.1 %","14.7 %",".253",".327",".315",".381",".568",".406","140","2.4","27.7","12.1","5.9","3531"
"2011","Jose Reyes","Mets","126","586","7","101","44","39","7.3 %","7.0 %",".156",".353",".337",".384",".493",".376","142","6.2","34.5","2.3","5.8","1736"
"2006","Jose Reyes","Mets","153","703","19","122","81","64","7.5 %","11.5 %",".187",".320",".300",".354",".487",".358","116","9.2","23.8","12.0","5.8","1736"
"2003","Nomar Garciaparra","Red Sox","156","719","28","120","105","19","5.4 %","8.5 %",".223",".294",".301",".345",".524",".369","124","4.1","25.3","7.2","5.7","190"
"2011","Troy Tulowitzki","Rockies","143","606","30","81","105","9","9.7 %","13.0 %",".242",".305",".302",".372",".544",".389","133","-3.1","20.0","13.9","5.6","3531"
"2002","Derek Jeter","Yankees","157","730","18","124","75","32","10.0 %","15.6 %",".124",".336",".297",".373",".421",".352","116","8.2","22.8","7.0","5.5","826"
"2013","Troy Tulowitzki","Rockies","126","512","25","72","82","1","11.1 %","16.6 %",".229",".334",".312",".391",".540",".400","142","-0.6","23.6","11.9","5.5","3531"
"2009","Troy Tulowitzki","Rockies","151","628","32","101","92","20","11.6 %","17.8 %",".256",".316",".297",".377",".552",".395","132","0.0","24.8","9.7","5.5","3531"
"2004","Carlos Guillen","Tigers","136","583","20","97","97","12","8.9 %","14.9 %",".224",".348",".318",".379",".542",".391","141","3.5","33.7","2.0","5.4","1079"
"1997","Jay Bell","Royals","153","660","21","89","92","10","10.8 %","15.3 %",".169",".317",".291",".368",".461",".364","116","-0.5","12.8","18.9","5.4","48"
"1993","Jeff Blauser","Braves","161","710","15","110","73","16","12.0 %","15.4 %",".131",".348",".305",".401",".436",".379","128","0.9","25.5","3.2","5.4","1001062"
"1990","Barry Larkin","Reds","158","681","7","85","67","30","7.2 %","7.2 %",".094",".317",".301",".358",".396",".341","107","3.7","9.4","18.3","5.4","335"
"2007","Hanley Ramirez","Marlins","154","706","29","125","81","51","7.4 %","13.5 %",".230",".353",".332",".386",".562",".405","144","4.9","44.9","-14.0","5.3","8001"
"2007","Jose Reyes","Mets","160","765","12","119","57","78","10.1 %","10.2 %",".141",".302",".280",".354",".421",".337","101","8.6","10.0","18.9","5.3","1736"
"2009","Jason Bartlett","Rays","137","567","14","90","66","30","9.5 %","15.7 %",".170",".364",".320",".389",".490",".383","136","7.7","33.3","0.2","5.3","8219"
"1992","Barry Larkin","Reds","140","609","12","76","78","15","10.3 %","9.5 %",".150",".319",".304",".377",".454",".371","134","1.3","24.2","5.5","5.3","335"
"1995","Barry Larkin","Reds","131","567","15","98","66","51","10.8 %","8.6 %",".173",".328",".319",".394",".492",".389","136","7.9","33.3","1.7","5.3","335"
"2008","Jimmy Rollins","Phillies","137","625","11","76","59","47","9.3 %","8.8 %",".160",".290",".277",".349",".437",".342","104","10.5","13.4","18.8","5.2","971"
"1997","Jeff Blauser","Braves","151","623","17","90","70","5","11.2 %","16.2 %",".173",".349",".308",".405",".482",".388","135","0.6","28.0","5.5","5.2","1001062"
"2007","Troy Tulowitzki","Rockies","155","682","24","104","99","7","8.4 %","19.1 %",".189",".335",".291",".359",".479",".364","109","0.8","8.8","22.2","5.2","3531"
"1993","John Valentin","Red Sox","144","539","11","50","66","3","9.1 %","14.3 %",".169",".310",".278",".346",".447",".350","109","-1.0","4.8","29.5","5.2","1375"
"1992","Ozzie Smith","Cardinals","132","590","0","73","31","43","10.0 %","5.8 %",".046",".315",".295",".367",".342",".327","107","5.0","9.7","20.1","5.1","1012186"
"1991","Ozzie Smith","Cardinals","150","641","3","96","50","35","12.9 %","5.6 %",".082",".301",".285",".380",".367",".345","119","3.4","17.0","10.7","5.1","1012186"
"2006","Miguel Tejada","Orioles","162","709","24","99","100","6","6.5 %","11.1 %",".168",".345",".330",".379",".498",".374","125","-2.1","20.4","7.8","5.1","941"
"1999","Barry Larkin","Reds","161","687","12","108","75","30","13.5 %","8.3 %",".127",".307",".293",".390",".420",".362","108","2.4","10.0","20.5","5.1","335"
"2013","Ian Desmond","Nationals","158","655","20","77","80","21","6.6 %","22.1 %",".173",".336",".280",".331",".453",".341","116","3.3","15.5","11.6","5.0","6885"
"2005","Miguel Tejada","Orioles","162","704","26","89","98","5","5.7 %","11.8 %",".211",".316",".304",".349",".515",".367","126","0.5","23.1","2.7","5.0","941"
"2006","Bill Hall","Brewers","148","608","35","101","85","8","10.4 %","26.6 %",".283",".320",".270",".345",".553",".374","124","-1.0","18.1","13.1","5.0","1605"
"2012","Ian Desmond","Nationals","130","547","25","72","73","21","5.5 %","20.7 %",".218",".332",".292",".335",".511",".362","128","1.4","19.7","10.3","5.0","6885"
"2011","Jhonny Peralta","Tigers","146","576","21","68","86","0","6.9 %","16.5 %",".179",".325",".299",".345",".478",".356","122","-3.3","11.2","16.7","4.9","1738"
"2004","Jimmy Rollins","Phillies","154","725","14","119","73","30","7.9 %","10.1 %",".166",".308",".289",".348",".455",".347","105","8.0","12.3","13.7","4.9","971"
"1990","Tony Fernandez","Blue Jays","161","721","4","84","66","26","9.8 %","9.7 %",".115",".302",".276",".352",".391",".335","108","-0.2","6.5","17.5","4.9","1004002"
"2004","Derek Jeter","Yankees","154","721","23","111","78","23","6.4 %","13.7 %",".179",".315",".292",".352",".471",".356","117","3.9","19.2","6.1","4.9","826"
"2012","Jimmy Rollins","Phillies","156","699","23","102","68","30","8.9 %","13.7 %",".177",".262",".250",".316",".427",".322","101","8.3","8.9","14.9","4.8","971"
"2002","Nomar Garciaparra","Red Sox","156","693","24","101","120","5","5.9 %","9.1 %",".217",".309",".310",".352",".528",".373","127","2.5","25.9","-1.7","4.8","190"
"1999","Alex Rodriguez","Mariners","129","572","42","110","111","21","9.8 %","19.1 %",".301",".281",".285",".357",".586",".395","136","1.0","28.9","1.9","4.7","1274"
"2010","Stephen Drew","Diamondbacks","151","633","15","83","61","10","9.8 %","17.1 %",".181",".321",".278",".352",".458",".355","113","-0.2","9.8","15.4","4.7","4251"
"2007","Orlando Cabrera","Angels","155","701","8","101","86","20","6.3 %","9.1 %",".096",".319",".301",".345",".397",".328","97","6.9","4.4","19.2","4.7","766"
"2002","Jose Hernandez","Brewers","152","582","24","72","73","3","8.9 %","32.3 %",".190",".404",".288",".356",".478",".360","119","-2.1","11.4","16.3","4.6","688"
"1994","Cal Ripken","Orioles","112","484","13","71","75","1","6.6 %","8.5 %",".144",".322",".315",".364",".459",".359","111","0.2","7.5","23.1","4.6","1010978"
"2005","Felipe Lopez","Reds","148","648","23","97","85","15","8.8 %","17.1 %",".195",".322",".291",".352",".486",".360","116","3.5","16.9","8.0","4.6","1311"
"2013","Andrelton Simmons","Braves","157","658","17","76","59","6","6.1 %","8.4 %",".149",".247",".248",".296",".396",".303","91","-1.6","-8.6","31.6","4.6","10847"
"2005","Derek Jeter","Yankees","159","752","19","122","70","14","10.2 %","15.6 %",".141",".351",".309",".389",".450",".369","129","1.9","28.1","-8.1","4.6","826"
"2005","Rafael Furcal","Braves","154","689","12","100","58","46","9.0 %","11.3 %",".144",".307",".284",".348",".429",".338","105","7.8","11.9","11.0","4.5","88"
"1993","Travis Fryman","Tigers","151","695","22","98","97","9","11.1 %","18.4 %",".186",".346",".300",".379",".486",".382","132","0.3","27.6","-5.0","4.5","385"
"2002","Miguel Tejada","Athletics","162","715","34","108","131","7","5.3 %","11.7 %",".199",".310",".308",".354",".508",".371","129","3.1","28.9","-8.8","4.5","941"
"2000","Jose Valentin","White Sox","144","648","25","107","92","19","9.1 %","16.4 %",".218",".295",".273",".343",".491",".358","107","3.0","9.0","15.2","4.5","256"
"2006","Jimmy Rollins","Phillies","158","758","25","127","83","36","7.5 %","10.6 %",".200",".281",".277",".334",".478",".346","103","5.8","8.7","12.0","4.5","971"
"2005","Michael Young","Rangers","159","732","24","114","91","5","7.9 %","12.4 %",".183",".354",".331",".385",".513",".389","136","3.5","36.0","-16.7","4.4","1286"
"1991","Jay Bell","Pirates","157","697","16","96","67","10","7.5 %","14.2 %",".158",".298",".270",".330",".428",".339","116","-0.4","12.3","7.3","4.4","48"
"2005","Jhonny Peralta","Indians","141","570","24","82","78","0","10.2 %","22.5 %",".228",".346",".292",".366",".520",".378","136","-0.5","24.4","0.3","4.4","1738"
"2003","Orlando Cabrera","Expos","162","691","17","95","80","24","7.5 %","9.3 %",".163",".305",".297",".347",".460",".348","106","8.9","13.8","8.4","4.4","766"
"1999","Mike Bordick","Orioles","160","708","10","93","77","14","7.6 %","14.4 %",".125",".312",".277",".334",".403",".325","91","1.0","-7.9","28.4","4.4","129"
"2004","Jack Wilson","Pirates","157","693","11","82","59","8","3.8 %","10.2 %",".150",".330",".308",".335",".459",".341","103","3.9","6.8","14.9","4.4","1017"
"2008","J.J. Hardy","Brewers","146","629","24","78","74","2","8.3 %","15.6 %",".195",".305",".283",".343",".478",".356","115","-1.8","10.0","12.9","4.3","3797"
"2002","David Eckstein","Angels","152","702","8","107","63","21","6.4 %","6.3 %",".095",".301",".293",".363",".388",".336","105","4.1","8.7","10.6","4.3","10"
"2011","Alexei Ramirez","White Sox","158","684","15","81","70","7","7.5 %","12.3 %",".130",".288",".269",".328",".399",".322","97","3.9","1.4","17.5","4.3","5133"
"2011","J.J. Hardy","Orioles","129","567","30","76","80","0","5.5 %","16.2 %",".222",".273",".269",".310",".491",".344","113","-0.8","7.7","14.7","4.3","3797"
"1997","Alex Rodriguez","Mariners","141","638","23","100","84","29","6.4 %","15.5 %",".196",".328",".300",".350",".496",".368","119","3.3","18.8","2.5","4.3","1274"
"2001","Derek Jeter","Yankees","150","686","21","110","74","27","8.2 %","14.4 %",".169",".343",".311",".377",".480",".371","130","4.5","30.3","-10.2","4.2","826"
"2006","Hanley Ramirez","Marlins","158","700","17","119","59","51","8.0 %","18.3 %",".188",".343",".292",".353",".480",".358","116","8.4","22.9","-2.6","4.2","8001"
"2010","Hanley Ramirez","Marlins","142","619","21","92","76","32","10.3 %","15.0 %",".175",".327",".300",".378",".475",".369","127","4.5","24.3","-3.2","4.2","8001"
"2005","Julio Lugo","Devil Rays","158","690","6","89","57","39","8.8 %","10.4 %",".107",".325",".295",".362",".403",".339","109","2.1","9.6","8.8","4.2","565"
"2009","Marco Scutaro","Blue Jays","144","680","12","100","60","14","13.2 %","11.0 %",".127",".304",".282",".379",".409",".353","112","2.9","13.1","5.7","4.2","1555"
"2002","Edgar Renteria","Cardinals","152","609","11","77","83","22","8.0 %","9.4 %",".134",".322",".305",".364",".439",".349","113","-1.1","9.0","13.3","4.2","1178"
"2009","Yunel Escobar","Braves","141","604","14","89","76","5","9.4 %","10.3 %",".136",".317",".299",".377",".436",".360","120","-0.1","14.5","7.8","4.2","4191"
"1992","Jay Bell","Pirates","159","712","9","87","55","7","7.7 %","14.5 %",".119",".303",".264",".326",".383",".324","105","-0.7","3.2","13.7","4.2","48"
"2011","Elvis Andrus","Rangers","150","665","5","96","60","37","8.4 %","11.1 %",".082",".312",".279",".347",".361",".319","93","9.7","4.0","13.9","4.2","8709"
"2003","Derek Jeter","Yankees","119","542","10","87","52","11","7.9 %","16.2 %",".127",".379",".324",".393",".450",".372","129","2.3","21.7","1.6","4.1","826"
"1992","Travis Fryman","Tigers","161","721","20","87","96","8","6.2 %","20.0 %",".150",".309",".266",".316",".416",".330","103","-0.1","2.5","13.7","4.1","385"
"1995","Cal Ripken","Orioles","144","613","17","71","88","0","8.5 %","9.6 %",".160",".263",".262",".324",".422",".325","90","-0.6","-8.9","29.7","4.1","1010978"
"1997","Derek Jeter","Yankees","159","748","10","116","70","23","9.9 %","16.7 %",".115",".345",".291",".370",".405",".349","110","-0.5","9.2","5.7","4.0","826"
"2012","Jose Reyes","Marlins","160","716","11","86","57","40","8.8 %","7.8 %",".146",".298",".287",".347",".433",".335","108","4.6","11.7","4.1","4.0","1736"
"1996","Jose Valentin","Brewers","154","628","24","90","95","17","10.5 %","23.1 %",".216",".307",".259",".336",".475",".346","96","1.5","-1.8","20.0","4.0","256"
"2010","Alexei Ramirez","White Sox","156","626","18","83","70","13","4.3 %","13.1 %",".149",".300",".282",".313",".431",".324","95","3.5","0.1","17.6","4.0","5133"
"2001","Placido Polanco","Cardinals","144","610","3","87","38","12","4.1 %","7.0 %",".076",".328",".307",".342",".383",".320","92","1.1","-5.3","25.9","4.0","1176"
"2007","Edgar Renteria","Braves","124","543","12","87","57","11","8.5 %","14.2 %",".138",".375",".332",".390",".470",".379","127","3.2","22.3","0.8","4.0","1178"
"2007","J.J. Hardy","Brewers","151","638","26","89","80","2","6.3 %","11.4 %",".186",".279",".277",".323",".463",".340","103","-1.8","0.4","19.4","4.0","3797"
"2005","Jimmy Rollins","Phillies","158","732","12","115","54","41","6.4 %","9.7 %",".142",".309",".290",".338",".431",".332","97","11.3","8.5","7.4","4.0","971"
"2012","Elvis Andrus","Rangers","158","711","3","85","62","21","8.0 %","13.5 %",".092",".332",".286",".349",".378",".322","96","2.9","-0.3","14.7","3.9","8709"
"2001","Cristian Guzman","Twins","118","527","10","80","51","25","4.0 %","14.8 %",".174",".343",".302",".337",".477",".349","111","1.5","8.5","13.2","3.9","728"
"2013","Yunel Escobar","Rays","153","578","9","61","56","4","9.9 %","12.6 %",".110",".281",".256",".332",".366",".311","100","-0.1","-0.2","17.5","3.9","4191"
"1999","Tony Batista","- - -","142","573","31","77","100","4","6.6 %","16.8 %",".241",".283",".277",".330",".518",".358","107","0.8","6.0","15.5","3.9","124"
"2011","Erick Aybar","Angels","143","605","10","71","59","30","5.1 %","11.2 %",".142",".301",".279",".322",".421",".325","107","4.4","9.1","8.3","3.9","4082"
"1996","Cal Ripken","Orioles","163","707","26","94","102","1","8.3 %","11.0 %",".188",".281",".278",".341",".466",".350","103","-0.9","2.0","11.6","3.8","1010978"
"1999","Mark Grudzielanek","Dodgers","123","534","7","72","46","6","5.8 %","12.2 %",".111",".363",".326",".376",".436",".360","115","-1.5","9.2","13.3","3.8","653"
"2012","Erick Aybar","Angels","141","554","8","67","45","20","4.0 %","11.0 %",".126",".316",".290",".324",".416",".321","107","5.1","9.6","8.6","3.8","4082"
"2003","Rafael Furcal","Braves","156","734","15","130","61","25","8.2 %","10.4 %",".151",".310",".292",".352",".443",".346","107","8.7","15.3","-1.0","3.8","88"
"2008","Jhonny Peralta","Indians","154","664","23","104","89","3","7.2 %","19.0 %",".197",".312",".276",".331",".473",".347","112","0.1","9.7","5.7","3.8","1738"
"2007","Derek Jeter","Yankees","156","714","12","102","73","15","7.8 %","14.0 %",".130",".367",".322",".388",".452",".371","125","2.3","25.1","-11.2","3.8","826"
"1992","Mike Bordick","Athletics","154","572","3","62","48","12","7.0 %","10.3 %",".071",".331",".300",".358",".371",".334","113","-0.1","8.4","8.6","3.8","129"
"2001","Miguel Tejada","Athletics","162","683","31","107","113","11","6.3 %","13.0 %",".209",".267",".267",".326",".476",".340","109","0.0","8.1","6.4","3.7","941"
"2011","Yunel Escobar","Blue Jays","133","590","11","77","48","3","10.3 %","11.9 %",".123",".316",".290",".369",".413",".348","116","-1.0","10.0","6.1","3.7","4191"
"1994","Barry Larkin","Reds","110","501","9","78","52","26","12.8 %","11.6 %",".141",".301",".279",".369",".419",".349","109","4.3","10.2","10.9","3.7","335"
"2006","Michael Young","Rangers","162","748","14","93","103","7","6.4 %","12.8 %",".145",".345",".314",".356",".459",".352","107","-0.4","6.1","6.3","3.7","1286"
"2006","Edgar Renteria","Braves","149","673","14","100","70","17","9.2 %","13.2 %",".144",".324",".293",".361",".436",".349","108","1.2","8.0","7.2","3.7","1178"
"2008","Derek Jeter","Yankees","150","668","11","88","69","11","7.8 %","12.7 %",".107",".333",".300",".363",".408",".344","109","1.1","8.1","6.1","3.7","826"
"1993","Cal Ripken","Orioles","162","718","24","87","90","1","9.1 %","8.1 %",".162",".250",".257",".329",".420",".324","95","-1.3","-5.9","19.8","3.7","1010978"
"2005","Orlando Cabrera","Angels","141","587","8","70","57","21","6.5 %","8.5 %",".107",".271",".257",".309",".365",".295","80","5.0","-9.5","26.0","3.7","766"
"2000","Derek Jeter","Yankees","148","679","15","119","73","22","10.0 %","14.6 %",".142",".386",".339",".416",".481",".395","133","2.7","33.3","-16.4","3.7","826"
"1992","Cal Ripken","Orioles","162","715","14","73","72","4","9.0 %","7.0 %",".115",".252",".251",".323",".366",".309","90","-0.5","-8.6","20.9","3.7","1010978"
"2003","Jose Valentin","White Sox","144","569","28","79","74","8","9.5 %","20.0 %",".227",".251",".237",".313",".463",".332","98","0.2","-0.9","18.1","3.6","256"
"2004","Cesar Izturis","Dodgers","159","728","4","90","62","25","5.9 %","9.6 %",".093",".316",".288",".330",".381",".312","88","3.3","-8.3","21.1","3.6","656"
"1990","Walt Weiss","Athletics","138","505","2","50","35","9","9.1 %","10.5 %",".056",".294",".265",".337",".321",".301","91","0.4","-4.8","24.1","3.6","1013748"
"1994","Jay Bell","Pirates","110","487","9","68","45","2","10.1 %","16.8 %",".165",".321",".276",".353",".441",".349","107","0.4","4.8","15.8","3.6","48"
"2009","Erick Aybar","Angels","137","556","5","70","58","14","5.4 %","9.7 %",".111",".338",".312",".353",".423",".340","105","2.1","5.7","11.2","3.6","4082"
"2013","Jed Lowrie","Athletics","154","662","15","80","75","1","7.6 %","13.7 %",".156",".319",".290",".344",".446",".345","121","-1.2","14.5","-3.3","3.6","4418"
"2004","Julio Lugo","Devil Rays","157","655","7","83","75","21","8.2 %","16.2 %",".120",".321",".275",".338",".396",".323","93","3.9","-2.1","16.2","3.6","565"
"2011","Asdrubal Cabrera","Indians","151","667","25","87","92","17","6.6 %","17.8 %",".187",".302",".273",".332",".460",".344","119","1.7","16.3","-4.2","3.6","4962"
"2006","Rafael Furcal","Dodgers","159","736","15","113","63","37","9.9 %","13.3 %",".145",".333",".300",".369",".445",".355","113","1.5","14.0","-2.2","3.5","88"
"2011","Jimmy Rollins","Phillies","142","631","16","87","63","30","9.2 %","9.4 %",".131",".275",".268",".338",".399",".325","103","2.4","4.2","9.6","3.5","971"
"2000","Miguel Tejada","Athletics","160","681","30","105","115","6","9.7 %","15.0 %",".204",".287",".275",".349",".479",".356","109","1.3","9.6","4.2","3.5","941"
"2004","Juan Uribe","White Sox","134","553","23","82","74","9","5.8 %","17.4 %",".223",".307",".283",".327",".506",".352","110","-2.8","4.0","13.2","3.5","454"
"2007","Carlos Guillen","Tigers","151","630","21","86","102","13","8.7 %","14.8 %",".206",".319",".296",".357",".502",".364","120","3.0","18.6","-4.6","3.5","1079"
"2005","Bill Hall","Brewers","146","546","17","69","62","18","7.1 %","18.9 %",".204",".336",".291",".342",".495",".358","116","3.1","13.9","3.3","3.5","1605"
"1998","Mike Bordick","Orioles","151","533","13","59","51","6","7.3 %","12.2 %",".151",".276",".260",".328",".411",".327","96","-1.8","-4.9","21.6","3.5","129"
"2002","Jose Valentin","White Sox","135","527","25","70","75","3","8.2 %","18.8 %",".230",".262",".249",".311",".479",".337","102","0.1","1.6","14.8","3.4","256"
"1991","Mike Gallego","Athletics","159","567","12","67","49","6","11.8 %","14.8 %",".122",".275",".247",".343",".369",".326","105","-2.4","1.1","14.2","3.4","1004458"
"2013","J.J. Hardy","Orioles","159","644","25","66","76","2","5.9 %","11.3 %",".170",".263",".263",".306",".433",".322","100","-2.7","-2.7","13.3","3.4","3797"
"2008","Orlando Cabrera","White Sox","161","730","8","93","57","19","7.7 %","9.7 %",".089",".301",".281",".334",".371",".314","85","1.6","-12.3","22.1","3.4","766"
"1998","Omar Vizquel","Indians","151","660","2","86","50","37","9.4 %","9.7 %",".083",".318",".288",".358",".372",".329","92","2.2","-5.0","17.1","3.4","411"
"1998","Jay Bell","Diamondbacks","155","645","20","79","67","3","12.6 %","20.0 %",".180",".293",".251",".353",".432",".346","106","-1.6","3.0","11.4","3.4","48"
"2007","Jason Bartlett","Twins","140","570","5","75","43","23","8.8 %","12.8 %",".096",".300",".265",".339",".361",".313","88","8.6","0.3","14.8","3.4","8219"
"1991","Travis Fryman","Tigers","149","612","21","65","91","12","6.5 %","24.3 %",".189",".313",".259",".309",".447",".335","106","0.4","4.6","8.5","3.4","385"
"1992","Omar Vizquel","Mariners","136","527","0","49","21","15","6.1 %","7.2 %",".058",".318",".294",".340",".352",".318","96","-2.1","-4.5","20.1","3.4","411"
"2010","Cliff Pennington","Athletics","156","576","6","64","46","29","8.7 %","16.7 %",".118",".296",".250",".319",".368",".308","91","6.4","0.4","12.7","3.4","3395"
"1992","Pat Listach","Brewers","149","649","1","93","47","54","8.5 %","19.1 %",".059",".366",".290",".352",".349",".324","101","3.7","4.6","5.9","3.4","1007655"
