"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"1997","Craig Biggio","Astros","162","744","22","146","81","47","11.3 %","14.4 %",".192",".340",".309",".415",".501",".401","148","5.2","50.3","20.8","9.3","549"
"2009","Ben Zobrist","Rays","152","599","27","91","91","17","15.2 %","17.4 %",".246",".326",".297",".405",".543",".407","152","2.9","42.0","22.3","8.5","7435"
"1996","Chuck Knoblauch","Twins","153","701","13","140","72","45","14.0 %","10.6 %",".176",".370",".341",".448",".517",".422","145","2.5","46.3","12.5","8.1","609"
"2008","Chase Utley","Phillies","159","707","33","113","104","14","9.1 %","14.7 %",".244",".301",".292",".380",".535",".389","134","4.1","34.5","21.8","7.9","1679"
"2009","Chase Utley","Phillies","156","687","31","112","93","23","12.8 %","16.0 %",".226",".300",".282",".397",".508",".394","141","9.1","43.6","13.4","7.9","1679"
"2001","Bret Boone","Mariners","158","690","37","118","141","5","5.8 %","15.9 %",".247",".346",".331",".372",".578",".397","149","-1.2","41.2","14.1","7.8","1067"
"2012","Robinson Cano","Yankees","161","697","33","105","94","3","8.8 %","13.8 %",".238",".326",".313",".379",".550",".394","149","-1.7","38.5","12.6","7.7","3269"
"2011","Dustin Pedroia","Red Sox","159","731","21","102","91","26","11.8 %","11.6 %",".167",".325",".307",".387",".474",".375","133","0.3","28.2","20.5","7.6","8370"
"2007","Chase Utley","Phillies","132","613","22","104","103","9","8.2 %","14.5 %",".234",".362",".332",".410",".566",".419","150","2.5","42.0","14.4","7.5","1679"
"1992","Ryne Sandberg","Cubs","158","687","26","100","87","17","9.9 %","10.6 %",".206",".308",".304",".371",".510",".391","148","0.9","36.7","10.9","7.4","1011411"
"2000","Jeff Kent","Giants","159","695","33","114","125","12","12.9 %","15.4 %",".262",".357",".334",".424",".596",".431","159","-1.6","53.7","2.4","7.4","1119"
"2011","Ian Kinsler","Rangers","155","723","32","121","77","30","12.3 %","9.8 %",".223",".243",".255",".355",".477",".364","123","9.5","29.1","17.0","7.3","6195"
"1999","Roberto Alomar","Indians","159","694","24","138","120","37","14.3 %","13.8 %",".210",".346",".323",".422",".533",".412","142","4.7","43.5","9.5","7.3","860"
"2003","Bret Boone","Mariners","159","705","35","111","117","16","9.6 %","17.7 %",".241",".316",".294",".366",".535",".384","140","2.3","37.4","12.3","7.3","1067"
"2005","Chase Utley","Phillies","147","628","28","93","105","16","11.0 %","17.4 %",".249",".315",".291",".376",".540",".388","134","3.8","30.9","19.1","7.0","1679"
"2006","Chase Utley","Phillies","160","739","32","131","102","15","8.5 %","17.9 %",".219",".343",".309",".379",".527",".388","130","8.4","37.7","9.9","7.0","1679"
"2013","Matt Carpenter","Cardinals","157","717","11","126","78","3","10.0 %","13.7 %",".163",".359",".318",".392",".481",".381","146","4.1","41.6","1.3","6.9","8090"
"2002","Jeff Kent","Giants","152","682","37","102","108","5","7.6 %","14.8 %",".252",".324",".313",".368",".565",".397","147","2.4","42.7","3.1","6.8","1119"
"2005","Brian Roberts","Orioles","143","640","18","92","73","27","10.5 %","13.0 %",".201",".341",".314",".387",".515",".387","140","1.2","32.6","11.5","6.6","166"
"2001","Roberto Alomar","Indians","157","677","20","113","100","30","11.8 %","10.5 %",".205",".351",".336",".415",".541",".406","151","3.4","46.9","-2.7","6.6","860"
"2008","Dustin Pedroia","Red Sox","157","726","17","118","83","20","6.9 %","7.2 %",".167",".331",".326",".376",".493",".377","127","4.9","29.1","12.1","6.5","8370"
"1998","Craig Biggio","Astros","160","738","20","123","88","50","8.7 %","15.3 %",".178",".368",".325",".403",".503",".395","145","6.5","48.9","-5.2","6.5","549"
"2003","Marcus Giles","Braves","145","635","21","101","69","14","9.3 %","12.6 %",".211",".337",".316",".390",".526",".394","139","3.4","34.9","10.4","6.5","89"
"1991","Ryne Sandberg","Cubs","158","684","26","104","100","22","12.7 %","13.0 %",".195",".301",".291",".379",".485",".383","139","1.2","31.5","7.9","6.4","1011411"
"2000","Edgardo Alfonzo","Mets","150","650","25","109","94","3","14.6 %","10.8 %",".219",".332",".324",".425",".542",".418","150","-0.2","44.2","2.9","6.4","859"
"2010","Robinson Cano","Yankees","160","696","29","103","109","3","8.2 %","11.1 %",".214",".326",".319",".381",".534",".391","143","1.5","36.3","1.7","6.4","3269"
"1995","Chuck Knoblauch","Twins","136","629","11","107","63","46","12.4 %","15.1 %",".154",".386",".333",".424",".487",".404","139","1.1","33.1","10.6","6.4","609"
"1990","Ryne Sandberg","Cubs","155","675","40","116","100","25","7.4 %","12.4 %",".254",".296",".306",".354",".559",".396","142","2.0","35.0","1.8","6.3","1011411"
"2011","Ben Zobrist","Rays","156","674","20","99","91","19","11.4 %","19.0 %",".201",".310",".269",".353",".469",".359","130","3.7","27.4","10.1","6.3","7435"
"1997","Chuck Knoblauch","Twins","156","716","9","117","58","62","11.7 %","11.7 %",".119",".324",".291",".390",".411",".359","112","8.2","18.7","18.8","6.2","609"
"1995","Craig Biggio","Astros","141","673","22","123","77","33","11.9 %","12.6 %",".181",".320",".302",".406",".483",".394","145","2.9","40.8","-0.3","6.2","549"
"1992","Roberto Alomar","Blue Jays","152","671","8","105","76","49","13.0 %","7.7 %",".117",".329",".310",".405",".427",".379","135","6.1","33.0","2.6","6.1","860"
"1999","Randy Velarde","- - -","156","711","16","105","76","24","9.8 %","13.8 %",".138",".356",".317",".390",".455",".375","120","1.2","19.7","18.9","6.1","942"
"1993","Robby Thompson","Giants","128","559","19","85","65","10","8.1 %","17.4 %",".184",".353",".312",".375",".496",".384","139","0.5","27.4","13.5","6.1","1013023"
"1991","Lou Whitaker","Tigers","138","572","23","94","78","4","15.7 %","7.9 %",".211",".263",".279",".391",".489",".389","141","0.0","27.7","12.1","6.1","1013846"
"2013","Robinson Cano","Yankees","160","681","27","81","107","7","9.5 %","12.5 %",".202",".327",".314",".383",".516",".384","142","-2.0","30.6","2.5","6.0","3269"
"1991","Julio Franco","Rangers","146","659","15","108","78","36","9.9 %","11.8 %",".132",".373",".341",".408",".474",".393","146","3.6","39.3","-4.2","5.9","87"
"1999","Edgardo Alfonzo","Mets","158","726","27","123","108","9","11.7 %","11.7 %",".197",".312",".304",".385",".502",".384","127","0.9","27.9","10.9","5.9","859"
"1990","Julio Franco","Rangers","157","670","11","96","69","31","12.2 %","12.4 %",".107",".329",".296",".383",".402",".358","125","1.9","20.9","14.5","5.9","87"
"2012","Ben Zobrist","Rays","157","668","20","88","74","14","14.5 %","15.4 %",".202",".296",".270",".377",".471",".365","137","-3.2","25.9","8.3","5.9","7435"
"2010","Rickie Weeks","Brewers","160","754","29","112","83","11","10.1 %","24.4 %",".195",".332",".269",".366",".464",".368","127","4.3","28.6","3.7","5.8","1849"
