"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2004","Adrian Beltre","Dodgers","156","657","48","104","121","7","8.1 %","13.2 %",".294",".325",".334",".388",".629",".423","161","-2.1","49.6","27.8","9.7","639"
"2007","Alex Rodriguez","Yankees","158","708","54","143","156","24","13.4 %","16.9 %",".331",".309",".314",".422",".645",".445","175","8.1","74.6","-0.5","9.6","1274"
"2004","Scott Rolen","Cardinals","142","593","34","109","124","4","12.1 %","15.5 %",".284",".323",".314",".409",".598",".422","159","3.6","48.5","23.4","8.9","970"
"2005","Alex Rodriguez","Yankees","162","715","48","124","130","21","12.7 %","19.4 %",".289",".347",".321",".421",".610",".436","174","-1.1","63.3","-0.2","8.8","1274"
"2007","David Wright","Mets","160","711","30","113","107","34","13.2 %","16.2 %",".222",".356",".325",".416",".546",".413","151","6.8","53.7","8.7","8.4","3787"
"2000","Troy Glaus","Angels","159","678","47","120","102","14","16.5 %","24.0 %",".320",".319",".284",".404",".604",".424","150","-2.2","43.7","19.0","8.2","15"
"2013","Josh Donaldson","Athletics","158","668","24","89","93","5","11.4 %","16.5 %",".199",".333",".301",".384",".499",".384","148","1.1","37.5","12.1","7.7","5038"
"2010","Evan Longoria","Rays","151","661","22","96","104","15","10.9 %","18.8 %",".213",".336",".294",".372",".507",".376","139","6.1","36.6","14.4","7.6","9368"
"1996","Ken Caminiti","Padres","146","639","40","109","130","11","12.2 %","15.5 %",".295",".331",".326",".408",".621",".426","169","-0.2","55.7","4.3","7.5","1001863"
"2013","Miguel Cabrera","Tigers","148","652","44","103","137","3","13.8 %","14.4 %",".288",".356",".348",".442",".636",".455","191","-4.4","63.0","-14.8","7.5","1744"
"2009","Evan Longoria","Rays","157","671","33","100","113","9","10.7 %","20.9 %",".245",".313",".281",".364",".526",".377","132","3.6","30.8","21.6","7.5","9368"
